date,equity,cash,position_value,open_positions,gross_exposure
2025-01-12,99950.0,80000.0,19950.0,1,0.19959979989994997
2025-01-13,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-01-14,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-01-15,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-01-16,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-01-19,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-01-20,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-01-21,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-01-22,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-01-23,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-01-26,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-01-27,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-01-28,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-01-29,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-01-30,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-02-02,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-02-03,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-02-04,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-02-05,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-02-06,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-02-09,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-02-10,99004.61937500001,99004.61937500001,0.0,0,0.0
2025-02-11,98955.1170653125,79203.6955,19751.421565312503,1,0.19959979989995
2025-02-12,98439.86360315491,79203.6955,19236.168103154912,1,0.1954103490096507
2025-02-13,98697.4903342337,79203.6955,19493.794834233708,1,0.19751054224599862
2025-02-16,99092.5195621959,79203.6955,19888.824062195905,1,0.20070964135403369
2025-02-17,98920.76791638044,79203.6955,19717.072416380444,1,0.19932186973161845
2025-02-18,99126.86871112796,79203.6955,19923.173211127963,1,0.20098660908161414
2025-02-19,99540.80241338696,59285.57595755139,40255.22645583557,2,0.404409302314623
2025-02-20,99204.92028133654,39434.66644652857,59770.25383480797,3,0.6024928366990742
2025-02-23,99852.53098137933,0.0,99852.53098137933,5,1.0
2025-02-24,98369.73367178105,0.0,98369.73367178105,5,1.0
2025-02-25,97695.18053773674,0.0,97695.18053773674,5,1.0
2025-02-26,97737.37393591003,0.0,97737.37393591003,5,1.0
2025-02-27,98975.7116141745,0.0,98975.7116141745,5,1.0
2025-03-02,98779.110082811,0.0,98779.110082811,5,1.0
2025-03-03,98236.1164680942,0.0,98236.1164680942,5,1.0
2025-03-04,99632.25865293789,20627.183840224432,79005.07481271346,4,0.7929668149742765
2025-03-05,98583.86294370596,20627.183840224432,77956.67910348153,4,0.7907651087683274
2025-03-06,99879.73930125561,20627.183840224432,79252.55546103118,4,0.7934797989609378
2025-03-09,106001.61555624785,43207.271077975536,62794.34447827231,3,0.5923904475300342
2025-03-10,106882.65476234951,65404.16292291708,41478.491839432434,2,0.3880750523240526
2025-03-11,106564.03119799451,65404.16292291708,41159.86827507743,2,0.3862454133196497
2025-03-12,107521.87941289975,65404.16292291708,42117.71648998267,2,0.3917129864168805
2025-03-13,107758.48763830462,43436.9468847636,64321.54075354102,3,0.5969046352008824
