symbol,entry_date,exit_date,gross_return,net_return,exit_type,holding_sessions,slot_budget
AXPH,2025-01-12,2025-01-13,-0.045,-0.04976903124999987,stop,1,20000.0
ACGC,2025-02-23,2025-03-03,-0.045,-0.049769031249999984,stop,6,19990.22352949913
ABUK,2025-02-11,2025-03-04,0.046956593704010174,0.04172835421420107,timeout,15,19800.923875
AREH,2025-02-20,2025-03-09,0.12,0.11440700000000015,target,11,19850.909511022815
MPCI,2025-02-23,2025-03-09,0.12,0.11440700000000015,target,10,19444.442917029442
ATLC,2025-02-19,2025-03-10,0.12,0.11440700000000037,target,13,19918.119542448614
ISPH,2025-03-03,2025-03-13,0.12,0.11440700000000015,target,8,18995.329469965003
ADCI,2025-03-13,2025-03-20,0.12,0.11440700000000015,target,5,21562.478767044446
PHAR,2025-03-09,2025-04-03,0.012229349902974862,0.007174529586896794,timeout,15,21210.928575537335
CIEB,2025-03-13,2025-04-09,-0.022333643852631146,-0.027215865218642055,timeout,15,21573.26539974432
EFIC,2025-04-16,2025-04-27,0.12,0.11440700000000015,target,4,21963.112297315256
SPIN,2025-04-23,2025-04-27,0.12,0.11440700000000015,target,1,22224.59806803129
RAKT,2025-04-29,2025-05-07,-0.045,-0.049769031249999984,stop,5,22897.527965962698
EDFM,2025-04-30,2025-05-12,0.12,0.11440700000000015,target,7,23123.81071601031
MICH,2025-04-27,2025-05-18,-0.045,-0.049769031249999984,stop,14,22974.188973268894
IEEC,2025-05-06,2025-05-19,-0.045,-0.049769031249999984,stop,9,22740.038805889657
MCQE,2025-04-30,2025-05-21,0.12,0.11440700000000015,target,14,23135.378405212912
HDBK,2025-05-15,2025-06-02,0.12,0.11440700000000037,target,12,23452.715368322395
HELI,2025-05-26,2025-06-02,-0.045,-0.049769031249999984,stop,5,23581.371758778274
ECAP,2025-05-26,2025-06-03,0.12,0.11440700000000037,target,6,23304.539314352893
SUGR,2025-05-19,2025-06-12,-0.020725406719857564,-0.02561565922005027,timeout,15,22963.309857237713
AJWA,2025-06-02,2025-06-15,-0.045,-0.04976903124999987,stop,6,24159.64753741222
ETEL,2025-05-21,2025-06-15,-0.045,-0.049769031249999984,stop,14,23446.643001648667
AXPH,2025-06-30,2025-07-09,0.12,0.11440700000000037,target,5,23593.35504548755
AJWA,2025-07-01,2025-07-27,0.047650655050597734,0.04241894959193915,timeout,15,23600.675758534162
NHPS,2025-07-20,2025-07-29,-0.045,-0.04976903124999987,stop,6,24483.993285568016
EAST,2025-07-30,2025-08-10,0.12,0.11440700000000015,target,7,24028.599779556775
ISPH,2025-07-20,2025-08-11,0.059999992265463264,0.054706617304087546,timeout,15,24496.241406271154
SNFC,2025-08-11,2025-08-17,-0.045,-0.049769031250000095,stop,4,24907.547593098152
NINH,2025-08-11,2025-08-18,0.12,0.11440700000000015,target,5,24895.093819301605
PHAR,2025-08-17,2025-09-07,0.12,0.11440700000000015,target,14,24715.981628553192
MIPH,2025-09-02,2025-09-08,0.12,0.11440700000000015,target,3,25408.90174997066
IEEC,2025-09-10,2025-09-15,-0.045,-0.049769031249999984,stop,3,26518.134829703533
HELI,2025-09-14,2025-09-16,-0.045,-0.04976903124999976,stop,2,26373.02294708317
MICH,2025-08-28,2025-09-16,-0.045,-0.04976903124999987,stop,12,25284.95756915288
ELSH,2025-08-27,2025-09-18,-0.016861259223567737,-0.021770808310319856,timeout,15,25259.263532958077
POUL,2025-09-14,2025-10-05,0.12,0.11440700000000037,target,15,26359.836435609624
ZMID,2025-09-28,2025-10-07,0.12,0.11440700000000037,target,7,25914.83953580874
EGAL,2025-10-05,2025-10-14,0.12,0.11440700000000015,target,6,26637.270283619837
AXPH,2025-10-13,2025-10-15,0.12,0.11440700000000015,target,2,26950.646627938608
EDFM,2025-10-14,2025-10-21,0.12,0.11440700000000037,target,5,27268.23662638662
EGCH,2025-09-29,2025-10-21,-0.01872342698117524,-0.02362367686768796,timeout,15,25863.83812264141
SKPC,2025-09-30,2025-10-22,0.0,-0.004993750000000019,timeout,15,26066.59510915622
AMIA,2025-10-26,2025-10-29,0.12,0.11440700000000015,target,3,28965.66782812454
WCDF,2025-10-14,2025-10-29,-0.045,-0.04976903124999976,stop,11,27254.60250807343
EFID,2025-10-27,2025-11-02,-0.045,-0.049769031250000095,stop,4,28851.991896703134
SDTI,2025-10-21,2025-11-02,0.12,0.11440700000000015,target,8,28735.99896277914
ODIN,2025-10-15,2025-11-05,0.01694913656104502,0.011870746810343391,timeout,15,27596.078069341893
TMGH,2025-11-03,2025-11-06,0.12,0.11440700000000037,target,3,29413.997236742365
ARVA,2025-11-17,2025-11-23,0.12,0.11440700000000015,target,4,29886.409329600236
RTVC,2025-11-24,2025-11-27,-0.045,-0.049769031249999984,stop,3,30570.25221603455
ACGC,2025-12-04,2025-12-16,-0.045,-0.049769031249999984,stop,8,30265.961848462513
MBSC,2025-12-23,2025-12-29,0.12,0.11440700000000037,target,4,29952.738167102856
SKPC,2025-12-22,2026-01-04,-0.045,-0.049769031250000095,stop,8,29964.700328253024
JUFO,2025-12-31,2026-01-05,-0.045,-0.04976903124999987,stop,2,30577.685175335668
